Tanggal Rilis,Judul,Deskripsi,Link,Timestamp
2024-12-08 16:00:00,Bagus Banget! 20 Game Lokal Wajib Coba di Indonesia Game Festival 2024,"Bagi gamer yang datang ke Indonesia Game Festival 2024, wajib banget mencoba sederet game lokal ini. Gameplay-nya di jamin seru.",https://inet.detik.com/games-news/d-7676650/bagus-banget-20-game-lokal-wajib-coba-di-indonesia-game-festival-2024,2025-03-12 09:34:23
2024-12-06 20:05:00,Kemenkraf Yakin Kualitas Game Lokal Tak Kalah dari Luar Negeri,Kemenkraf memastikan kualitas game lokal tidak kalah saing dengan karya developer luar. Gamer diminta untuk membuktikannya di Indonesia Game Festival 2024.,https://inet.detik.com/games-news/d-7674645/kemenkraf-yakin-kualitas-game-lokal-tak-kalah-dari-luar-negeri,2025-03-12 09:34:23
2024-11-30 07:35:00,Datang ke Indonesia Game Festival 2024 Bisa Dapat PS5-Nintendo Switch,"Hadir ke Indonesia Game Festival 2024 tak hanya bisa menjajal beragam game lokal atau melihat cosplayer yang keren, tapi pengunjung bisa raih hadiah menarik.",https://inet.detik.com/games-news/d-7664016/datang-ke-indonesia-game-festival-2024-bisa-dapat-ps5-nintendo-switch,2025-03-12 09:34:23
2024-11-29 19:04:00,"Cara Dapat Tiket Gratis Indonesia Game Festival 2024, Digelar 6-8 Desember","Indonesia Game Festival 2024 akan segera diselenggarakan. Bagi yang mau tiket gratisnya, bisa simak artikel berikut.",https://inet.detik.com/games-news/d-7663591/cara-dapat-tiket-gratis-indonesia-game-festival-2024-digelar-6-8-desember,2025-03-12 09:34:23
2024-11-28 22:30:00,"Industri Game Lokal Diproyeksi Meningkat di 2025, PC Masih Pilihan Utama","Pertumbuhan industri game lokal pada 2024 meningkat drastis, bila dibandingkan tahun-tahun sebelumnya. Lantas bagaimana dengan 2025?",https://inet.detik.com/games-news/d-7662111/industri-game-lokal-diproyeksi-meningkat-di-2025-pc-masih-pilihan-utama,2025-03-12 09:34:23
2024-11-28 21:00:00,10 Studio Game Lokal yang Akan Unjuk Gigi di Indonesia Game Festival 2024,"Indonesia Game Festival 2024 akan segera digelar. Para pengunjung bisa menikmati berbagai macam kegiatan, yang mana salah satunya menjajal game Indonesia.",https://inet.detik.com/games-news/d-7661950/10-studio-game-lokal-yang-akan-unjuk-gigi-di-indonesia-game-festival-2024,2025-03-12 09:34:23
2024-10-04 09:45:00,Keren Banget! 6 Game Indonesia Raih Penghargaan di SEA Game Awards 2024,Game lokal kembali menorehkan hasil yang luar biasa di Level UP KL SEA Game Awards 2024. Terdapat enam karya anak bangsa yang berhasil meraih penghargaan.,https://inet.detik.com/games-news/d-7571354/keren-banget-6-game-indonesia-raih-penghargaan-di-sea-game-awards-2024,2025-03-12 09:34:24
2024-08-18 08:59:00,"Resident Evil Versi Indonesia Bakal Rilis, Judulnya Akarmaut: Rootmare",Agate mengumumkan akan meluncurkan game baru berjudul Akarmaut: Romare. Mereka bilang kalau game ini terinspirasi dari game survival horor garapan Capcom.,https://inet.detik.com/games-news/d-7495649/resident-evil-versi-indonesia-bakal-rilis-judulnya-akarmaut-rootmare,2025-03-12 09:34:24
2024-08-17 16:00:00,5 Game PC Buatan Developer Indonesia di Steam yang Seru Banget,Studio game asal Indonesia juga ahli dalam menyajikan permainan yang seru di PC maupun konsol. Berikut rekomendasi game PC di Steam yang wajib dicoba.,https://inet.detik.com/games-features/d-7494847/5-game-pc-buatan-developer-indonesia-di-steam-yang-seru-banget,2025-03-12 09:34:24
2024-08-13 14:20:00,Rekomendasi Game Android Terseru Buatan Developer Indonesia,"Udah tau belum, Indonesia juga punya beberapa game Android yang keren-keren lho. Berikut daftarnya dan kalian wajib banget coba.",https://inet.detik.com/fotoinet/d-7487510/rekomendasi-game-android-terseru-buatan-developer-indonesia,2025-03-12 09:34:24
2024-08-08 18:49:00,"Dukung Pertumbuhan Game Lokal, Tencent dan Garena Kasih Pelatihan","Dalam upaya mendukung pertumbuhan game lokal, Tencent dan Garena bakal bagi-bagi ilmu. Developer game di Tanah Air bisa merasakannya dalam acara Gameseed 2024.",https://inet.detik.com/games-news/d-7479707/dukung-pertumbuhan-game-lokal-tencent-dan-garena-kasih-pelatihan,2025-03-12 09:34:29
2024-08-08 15:01:00,Wow! Game Indonesia Malah Lebih Sukses di Luar Negeri,Game Indonesia banyak yang lebih sukses di pasar global ketimbang di dalam negeri. Contohnya Coral Island yang capai lebih dari USD 20 juta hanya di Steam.,https://inet.detik.com/games-news/d-7479676/wow-game-indonesia-malah-lebih-sukses-di-luar-negeri,2025-03-12 09:34:29
2024-06-13 13:44:00,"Demo My Lovely Empress Hadir di Steam Next Fest, Local Pride Nih!","Studio game indie asal Indonesia, GameChanger Studio, mengumumkan bahwa demo dari karya terbarunya, My Lovely Empress, telah hadir di Steam Next Fest Juni 2024.",https://inet.detik.com/games-news/d-7388975/demo-my-lovely-empress-hadir-di-steam-next-fest-local-pride-nih,2025-03-12 09:34:29
2024-05-11 17:12:00,15 Game Indonesia yang Rilis Sepanjang Bulan Januari-April 2024,"Soal perkembangan industri game di dunia, Indonesia ikut berkontribusi di dalamnya. Sampai akhir April kemarin, studio game lokal rilis 15 game baru di 2024.",https://inet.detik.com/games-news/d-7335136/15-game-indonesia-yang-rilis-sepanjang-bulan-januari-april-2024,2025-03-12 09:34:29
2024-04-01 15:48:00,"Viral Developer RI Bikin Game Cosmic Horor, Joko Anwar Kepincut","Belum lama ini viral developer game asal Indonesia, yang bikin game bertema cosmic horor. Sutradara kondang sampai YouTuber game pun kepincut ingin menjajalnya.",https://inet.detik.com/games-news/d-7272382/viral-developer-ri-bikin-game-cosmic-horor-joko-anwar-kepincut,2025-03-12 09:34:29
2024-03-18 14:17:00,Menyala Adikku! Bocah Lampung Kelas 6 SD Bikin Game Android,Seorang siswi kelas enam SD bikin game Android. Game berjudul Jelajah Lampung Berjaya dan Lorong Toleransi Pancasila tersebut sudah bisa diunduh di Play Store.,https://inet.detik.com/games-news/d-7247777/menyala-adikku-bocah-lampung-kelas-6-sd-bikin-game-android,2025-03-12 09:34:29
2024-03-07 19:45:00,Keren! Game Lokal Paw Rumble Tembus 2 Juta Download di Android,"Game lokal berjudul Paw Rumble kini tembus dua juta download. Karya anak bangsa ini punya basis pengguna terbesar di India, Pakistan, dan Indonesia.",https://inet.detik.com/games-news/d-7230179/keren-game-lokal-paw-rumble-tembus-2-juta-download-di-android,2025-03-12 09:34:29
2024-02-23 21:45:00,Pemerintah Targetkan Raih Dana Pengembangan Game Lokal Rp 600 Miliar,"Pemerintah akan membuka akses pembiayaan dan permodalanuntuk mengembangkan industri game Indonesia, seperti target yang tertuang di Perpres Nomor 19 Tahun 2024.",https://inet.detik.com/games-news/d-7208540/pemerintah-targetkan-raih-dana-pengembangan-game-lokal-rp-600-miliar,2025-03-12 09:34:29
2024-02-22 14:10:00,Perpres Industri Game Nasional: Bikin 3-5 Game Flagship Multiplayer,"Peraturan Presiden (Perpres) Nomor 19 Tahun 2024 Tentang Percepatan Pengembangan Industri Gim Nasional punya program menarik, yakni bikin game multiplayer.",https://inet.detik.com/games-news/d-7206168/perpres-industri-game-nasional-bikin-3-5-game-flagship-multiplayer,2025-03-12 09:34:29
2024-02-21 22:36:00,"Biaya Bikin Game Indonesia Capai Rp 20 Miliar, Pendapatannya Berapa?","Terungkap, biaya pembuatan game Indonesia ada yang mencapai Rp 20 miliar. Dari uang segitu, kira-kira berapa pendapatan yang diperoleh ya?",https://inet.detik.com/games-news/d-7205268/biaya-bikin-game-indonesia-capai-rp-20-miliar-pendapatannya-berapa,2025-03-12 09:34:29
2024-02-21 15:02:00,Perpres Game Menguak Masalah di Industri Game Nasional,Peraturan Presiden (Perpres) Nomor 19 Tahun 2024 Tentang Percepatan Pengembang Industri Gim Nasional menguak masalah yang dihadapi industri Gim Nasional.,https://inet.detik.com/games-news/d-7204260/perpres-game-menguak-masalah-di-industri-game-nasional,2025-03-12 09:34:34
2024-01-29 15:23:00,Asosiasi Game: Aturan Publisher Game Berbadan Hukum Masih Digodok,Ternyata aturan Kominfo terkait publisher game wajib berbadan hukum di Indonesia yang katanya udah selesai dan sedang penomoran di Kememkum itu masih digodok.,https://inet.detik.com/games-news/d-7166263/asosiasi-game-aturan-publisher-game-berbadan-hukum-masih-digodok,2025-03-12 09:34:34
2024-01-17 09:07:00,"Developer Lokal Agate Berencana Rilis Game di iPhone 15, Tapi...","Agate, developer dan publisher game lokal, berencana merilis karya mereka ke iPhone 15. Tapi itu semua tergantung dari uji coba yang sedang dilakukannya.",https://inet.detik.com/games-news/d-7145392/developer-lokal-agate-berencana-rilis-game-di-iphone-15-tapi,2025-03-12 09:34:34
2024-01-11 22:10:00,"Indonesia Dominasi Asia Tenggara, Terbanyak Rilis Game di Steam","Keren banget, Indonesia mendominasi di Asia Tenggara, sebagai negara paling banyak rilis game di Steam. Sejauh ini, sudah ada 256 judul yang rilis di Steam.",https://inet.detik.com/games-news/d-7136401/indonesia-dominasi-asia-tenggara-terbanyak-rilis-game-di-steam,2025-03-12 09:34:34
2023-12-03 13:27:00,Toge Productions Akuisisi Mojiken Studio Rp 25 Miliar,"Toge Porductions mengumumkan strategi baru dalam mengembangkan bisnisnya. Mereka belum lama ini mengakuisisi Mojiken Studio, pengembang A Space for the Unbound.",https://inet.detik.com/games-news/d-7069461/toge-productions-akuisisi-mojiken-studio-rp-25-miliar,2025-03-12 09:34:34
2023-11-14 20:17:00,"Daftar Nominasi The Game Awards 2023, Ada dari Indonesia!","Salah satu ajang penghargaan game terbesar di dunia, The Game Awards 2023, sudah mengumumkan daftar nominasinya. Di dalamnya ada game Indonesia lho.",https://inet.detik.com/games-news/d-7037032/daftar-nominasi-the-game-awards-2023-ada-dari-indonesia,2025-03-12 09:34:34
